"Dataset ID","Dataset's Metis page","Dataset size","Provider","Data provider","Record ID","Last record index","Record edm:type","Record content tier","Record metadata tier","Link type","Link","Link server","Time of checking","Error"
"9200334","https://metis.europeana.eu/dataset/edit/9200334","1","The European Library",,"/9200334/BibliographicResource_3000095232233","2014-06-03T11:24:19.589+02:00","TEXT","1","B","edm:isShownAt","http://digicontent.snk.sk/content/manuscripts/_Krvave_sonety__Hviezdoslav/","http://digicontent.snk.sk/","2023-11-02T14:15:31.3+01:00","Problem while processing http://digicontent.snk.sk/content/manuscripts/_Krvave_sonety__Hviezdoslav/
  caused by:
PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
  caused by:
PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
  caused by:
unable to find valid certification path to requested target"
"9200335","https://metis.europeana.eu/dataset/edit/9200335","713","The European Library",,"/9200335/BibliographicResource_3000095305209","2014-10-02T13:44:59.015+02:00","IMAGE","3","0","edm:isShownAt","http://www.kb.dk/maps/kortsa/2012/jul/kortatlas/object60176/en/","http://www.kb.dk/","2023-11-02T14:10:11.718+01:00","Problem while processing http://www.kb.dk/maps/kortsa/2012/jul/kortatlas/object60176/en/
  caused by:
Maximum redirects (3) exceeded
  caused by:
Maximum redirects (3) exceeded"
"9200335","https://metis.europeana.eu/dataset/edit/9200335","713","The European Library",,"/9200335/BibliographicResource_3000095305283","2014-10-02T13:45:24.172+02:00","IMAGE","3","0","edm:isShownAt","http://www.kb.dk/maps/kortsa/2012/jul/kortatlas/object59636/en/","http://www.kb.dk/","2023-11-02T14:10:00.889+01:00","Problem while processing http://www.kb.dk/maps/kortsa/2012/jul/kortatlas/object59636/en/
  caused by:
Maximum redirects (3) exceeded
  caused by:
Maximum redirects (3) exceeded"
"9200337","https://metis.europeana.eu/dataset/edit/9200337","151","The European Library",,"/9200337/BibliographicResource_3000095824049","2014-06-03T16:46:59.164+02:00","IMAGE","0","A","edm:isShownAt","http://www.bl.uk/manuscripts/Viewer.aspx?ref=hs85!10!29979_f001r","http://www.bl.uk/","2023-11-02T14:14:19.44+01:00","Problem while processing http://www.bl.uk/manuscripts/Viewer.aspx?ref=hs85!10!29979_f001r
  caused by:
Connect to http://www.bl.uk:80 [www.bl.uk/194.66.233.215] failed: Connect timed out"
"9200337","https://metis.europeana.eu/dataset/edit/9200337","151","The European Library",,"/9200337/BibliographicResource_3000095824093","2014-06-03T16:46:59.934+02:00","IMAGE","0","A","edm:isShownAt","http://www.bl.uk/manuscripts/Viewer.aspx?ref=hs85!10!29541_f001r","http://www.bl.uk/","2023-11-02T14:14:26.448+01:00","Problem while processing http://www.bl.uk/manuscripts/Viewer.aspx?ref=hs85!10!29541_f001r
  caused by:
Connect to http://www.bl.uk:80 [www.bl.uk/194.66.233.215] failed: Connect timed out"
"9200338","https://metis.europeana.eu/dataset/edit/9200338","131101","The European Library",,"/9200338/BibliographicResource_3000118648291","2018-06-26T11:05:25.076+02:00","TEXT","4","A","edm:isShownBy","https://iiif.europeana.eu/image/MYCLEAY3DIAM3TRPNOMAFDY3NERW4BPO4TYSF6YQA4L3BNICTCLA/presentation_images/564e5a00-fd4e-11e5-bc8a-fa163e60dd72/node-4/image/SUBHH/Börsen-Halle_=_ab_1905:_Hamburgischer_Correspondent_und_neue_hamburgische_Börsen-Halle/1892/05/09/00000001/full/full/0/default.jpg","https://iiif.europeana.eu/","2023-11-02T13:53:01.992+01:00","Problem while processing https://iiif.europeana.eu/image/MYCLEAY3DIAM3TRPNOMAFDY3NERW4BPO4TYSF6YQA4L3BNICTCLA/presentation_images/564e5a00-fd4e-11e5-bc8a-fa163e60dd72/node-4/image/SUBHH/Börsen-Halle_=_ab_1905:_Hamburgischer_Correspondent_und_neue_hamburgische_Börsen-Halle/1892/05/09/00000001/full/full/0/default.jpg
  caused by:
Download failed of resource https://iiif.europeana.eu/image/MYCLEAY3DIAM3TRPNOMAFDY3NERW4BPO4TYSF6YQA4L3BNICTCLA/presentation_images/564e5a00-fd4e-11e5-bc8a-fa163e60dd72/node-4/image"
"9200344","https://metis.europeana.eu/dataset/edit/9200344","393","The European Library",,"/9200344/BibliographicResource_3000055240084","2014-08-26T10:40:02.962+02:00","TEXT","1","0","edm:isShownAt","http://dizbi.hazu.hr/?documentIndex=1&docid=2893","http://dizbi.hazu.hr/","2023-11-02T14:12:43.675+01:00","Problem while processing http://dizbi.hazu.hr/?documentIndex=1&docid=2893
  caused by:
Read timed out"
"9200346","https://metis.europeana.eu/dataset/edit/9200346","429","The European Library",,"/9200346/BibliographicResource_3000095267356","2014-08-26T10:42:28.38+02:00","TEXT","1","A","edm:isShownAt","http://dizbi.hazu.hr/?documentIndex=1&docid=12363","http://dizbi.hazu.hr/","2023-11-02T14:12:16.301+01:00","Problem while processing http://dizbi.hazu.hr/?documentIndex=1&docid=12363
  caused by:
Read timed out"
"9200346","https://metis.europeana.eu/dataset/edit/9200346","429","The European Library",,"/9200346/BibliographicResource_3000095267413","2014-08-26T10:42:29.155+02:00","TEXT","1","A","edm:isShownAt","http://dizbi.hazu.hr/?documentIndex=1&docid=12395","http://dizbi.hazu.hr/","2023-11-02T14:12:05.693+01:00","Problem while processing http://dizbi.hazu.hr/?documentIndex=1&docid=12395
  caused by:
Read timed out"
"9200347","https://metis.europeana.eu/dataset/edit/9200347","69","The European Library",,"/9200347/BibliographicResource_3000095267477","2014-08-26T10:42:56.806+02:00","TEXT","1","0","edm:isShownAt","http://dizbi.hazu.hr/?documentIndex=1&docid=1329","http://dizbi.hazu.hr/","2023-11-02T13:53:33.812+01:00","Problem while processing http://dizbi.hazu.hr/?documentIndex=1&docid=1329
  caused by:
Read timed out"
"9200347","https://metis.europeana.eu/dataset/edit/9200347","69","The European Library",,"/9200347/BibliographicResource_3000095267498","2014-08-26T10:42:57.079+02:00","TEXT","1","0","edm:isShownAt","http://dizbi.hazu.hr/?documentIndex=1&docid=5183","http://dizbi.hazu.hr/","2023-11-02T13:53:23.688+01:00","Problem while processing http://dizbi.hazu.hr/?documentIndex=1&docid=5183
  caused by:
Read timed out"
"9200348","https://metis.europeana.eu/dataset/edit/9200348","3963","The European Library",,"/9200348/BibliographicResource_3000095270300","2014-08-26T10:45:13.042+02:00","TEXT","1","0","edm:isShownAt","http://dizbi.hazu.hr/?documentIndex=1&docid=10867","http://dizbi.hazu.hr/","2023-11-02T14:00:31.521+01:00","Problem while processing http://dizbi.hazu.hr/?documentIndex=1&docid=10867
  caused by:
Read timed out"
"9200351","https://metis.europeana.eu/dataset/edit/9200351","955","The European Library",,"/9200351/BibliographicResource_3000095272416","2014-10-05T21:11:18.643+02:00","TEXT","1","0","edm:isShownAt","http://dizbi.hazu.hr/?documentIndex=1&docid=13080","http://dizbi.hazu.hr/","2023-11-02T14:00:19.787+01:00","Problem while processing http://dizbi.hazu.hr/?documentIndex=1&docid=13080
  caused by:
Read timed out"
"9200355","https://metis.europeana.eu/dataset/edit/9200355","134746","The European Library",,"/9200355/BibliographicResource_3000117729342","2018-06-27T11:21:01.468+02:00","TEXT","4","A","edm:isShownBy","https://iiif.europeana.eu/image/QDHWMZPLCQWWFBIND7NBDQPRK6V6JFYDRLAX5XWFMD3QZYAHR3MA/presentation_images/4f101c50-01f5-11e6-8e10-fa163e091926/node-3/image/SBB/Berliner_Börsenzeitung/1924/02/23/F_069_091_0/F_SBB_00007_19240223_069_091_0_001/full/full/0/default.jpg","https://iiif.europeana.eu/","2023-11-02T13:55:14.437+01:00","Problem while processing https://iiif.europeana.eu/image/QDHWMZPLCQWWFBIND7NBDQPRK6V6JFYDRLAX5XWFMD3QZYAHR3MA/presentation_images/4f101c50-01f5-11e6-8e10-fa163e091926/node-3/image/SBB/Berliner_Börsenzeitung/1924/02/23/F_069_091_0/F_SBB_00007_19240223_069_091_0_001/full/full/0/default.jpg
  caused by:
Download failed of resource https://iiif.europeana.eu/image/QDHWMZPLCQWWFBIND7NBDQPRK6V6JFYDRLAX5XWFMD3QZYAHR3MA/presentation_images/4f101c50-01f5-11e6-8e10-fa163e091926/node-3/image/SBB/Berliner_Börsenzeitung/"
"9200356","https://metis.europeana.eu/dataset/edit/9200356","92653","The European Library",,"/9200356/BibliographicResource_3000100352965","2019-03-15T15:15:54.869+01:00","TEXT","4","A","edm:isShownBy","https://iiif.europeana.eu/image/ENSADHL3MCN26D3UCCH7AS7GI3AFL2LP7SC2TRNCS2NU5G7XRJLA/presentation_images/2c8c46b2-019e-11e6-a696-fa163e2dd531/node-2/image/NLE/Лифляндские_губернские_ведомости_=_Livländische_Gouvernements-Zeitung/1886/04/18/18860418_1-0001/full/full/0/default.jpg","https://iiif.europeana.eu/","2023-11-02T13:59:37.478+01:00","Problem while processing https://iiif.europeana.eu/image/ENSADHL3MCN26D3UCCH7AS7GI3AFL2LP7SC2TRNCS2NU5G7XRJLA/presentation_images/2c8c46b2-019e-11e6-a696-fa163e2dd531/node-2/image/NLE/Лифляндские_губернские_ведомости_=_Livländische_Gouvernements-Zeitung/1886/04/18/18860418_1-0001/full/full/0/default.jpg
  caused by:
Download failed of resource https://iiif.europeana.eu/image/ENSADHL3MCN26D3UCCH7AS7GI3AFL2LP7SC2TRNCS2NU5G7XRJLA/presentation_images/2c8c46b2-019e-11e6-a696-fa163e2dd531/node-2/image/NLE/Лифлянд"
"9200357","https://metis.europeana.eu/dataset/edit/9200357","15248","The European Library",,"/9200357/BibliographicResource_3000095238389","2018-06-26T08:52:20.249+02:00","TEXT","4","A","edm:isShownBy","https://iiif.europeana.eu/image/KFYOGPPTX44IQ43F7R2HDSFGUJQCGIIYQLNNEURU232H4RR72Y4A/presentation_images/ef960150-02cf-11e6-a651-fa163e2dd531/node-1/image/NLP/Dziennik_Śląski/1915/05/20/szzzid89547/0001_jpgid24006929/full/full/0/default.jpg","https://iiif.europeana.eu/","2023-11-02T14:16:22.718+01:00","Problem while processing https://iiif.europeana.eu/image/KFYOGPPTX44IQ43F7R2HDSFGUJQCGIIYQLNNEURU232H4RR72Y4A/presentation_images/ef960150-02cf-11e6-a651-fa163e2dd531/node-1/image/NLP/Dziennik_Śląski/1915/05/20/szzzid89547/0001_jpgid24006929/full/full/0/default.jpg
  caused by:
Download failed of resource https://iiif.europeana.eu/image/KFYOGPPTX44IQ43F7R2HDSFGUJQCGIIYQLNNEURU232H4RR72Y4A/presentation_images/ef960150-02cf-11e6-a651-fa163e2dd531/node-1/image/NLP/Dziennik_Śląski/1915/05/20/szzzid89547/0001_jp"
"9200359","https://metis.europeana.eu/dataset/edit/9200359","747773","The European Library",,"/9200359/BibliographicResource_3000113025774","2018-07-07T00:51:01.224+02:00","TEXT","2","A","edm:isShownAt","http://kranten.delpher.nl/nl/view/index?image=ddd:010266214:mpeg21","http://kranten.delpher.nl/","2023-11-02T13:58:17.684+01:00","Problem while processing http://kranten.delpher.nl/nl/view/index?image=ddd:010266214:mpeg21
  caused by:
kranten.delpher.nl"
"9200359","https://metis.europeana.eu/dataset/edit/9200359","747773","The European Library",,"/9200359/BibliographicResource_3000113025774","2018-07-07T00:51:01.224+02:00","TEXT","2","A","edm:isShownBy","http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010266214:mpeg21:p001:image","http://imageviewer.kb.nl/","2023-11-02T13:58:22.772+01:00","Problem while processing http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010266214:mpeg21:p001:image
  caused by:
Read timed out"
"9200359","https://metis.europeana.eu/dataset/edit/9200359","747773","The European Library",,"/9200359/BibliographicResource_3000115511533","2018-07-07T01:21:58.464+02:00","TEXT","1","A","edm:isShownAt","http://kranten.delpher.nl/nl/view/index?image=ddd:010890287:mpeg21","http://kranten.delpher.nl/","2023-11-02T13:58:09.612+01:00","Problem while processing http://kranten.delpher.nl/nl/view/index?image=ddd:010890287:mpeg21
  caused by:
kranten.delpher.nl: Name or service not known"
